Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,44.119999,44.369999,44.049999,44.290001,41.450420,9624200
2023-03-28,44.290001,44.740002,44.200001,44.360001,41.515930,8796700
2023-03-29,44.630001,44.689999,44.299999,44.520000,41.665676,7530500
2023-03-30,44.639999,44.830002,44.349998,44.500000,41.646957,6862400
2023-03-31,44.630001,44.720001,44.430000,44.619999,41.759262,7711500
2023-04-03,44.720001,45.330002,44.599998,44.980000,42.096180,8385800
2023-04-04,44.880001,44.910000,44.240002,44.450001,41.600163,7379600
2023-04-05,44.459999,44.700001,44.189999,44.430000,41.581444,7865800
2023-04-06,44.400002,44.619999,44.259998,44.430000,41.581444,6337200
2023-04-10,44.410000,44.599998,44.310001,44.500000,41.646957,6197300
2023-04-11,44.650002,45.209999,44.650002,45.090000,42.199131,6553500
2023-04-12,45.009998,45.169998,44.700001,44.830002,41.955799,6124100
2023-04-13,44.759998,45.020000,44.490002,44.970001,42.086826,4844200
2023-04-14,45.139999,45.380001,44.830002,45.029999,42.142975,6262400
2023-04-17,45.189999,45.459999,45.110001,45.439999,42.526688,6707000
2023-04-18,45.450001,46.169998,45.400002,46.139999,43.181812,6364800
2023-04-19,46.299999,46.470001,46.130001,46.459999,43.481293,5103000
2023-04-20,46.169998,46.320000,45.709999,45.990002,43.041431,7371200
2023-04-21,46.169998,46.250000,45.689999,46.150002,43.191170,9082900
2023-04-24,46.299999,46.669998,46.150002,46.669998,43.677826,6552900
2023-04-25,46.709999,47.220001,46.580002,46.990002,43.977314,7510500
2023-04-26,46.830002,47.330002,46.669998,46.689999,43.696545,8936800
2023-04-27,45.950001,47.439999,45.410000,47.189999,44.164490,10977600
2023-04-28,47.470001,47.720001,46.820000,47.509998,44.463974,11070400
2023-05-01,47.549999,48.040001,47.410000,47.779999,44.716660,8844000
2023-05-02,47.700001,47.709999,46.529999,47.180000,44.155132,7606400
2023-05-03,47.240002,47.369999,46.509998,46.529999,43.546806,6536100
2023-05-04,46.400002,46.520000,45.570000,46.130001,43.172451,7333200
2023-05-05,46.160000,46.860001,46.090000,46.689999,43.696545,5962300
2023-05-08,46.700001,46.820000,46.529999,46.610001,43.621677,4434200
2023-05-09,46.570000,46.669998,46.150002,46.439999,43.462574,4401700
2023-05-10,46.279999,46.459999,45.490002,45.939999,42.994633,8391800
2023-05-11,45.650002,45.700001,45.220001,45.669998,42.741943,6437300
2023-05-12,45.549999,45.799999,45.299999,45.669998,42.741943,5599600
2023-05-15,45.730000,45.910000,45.389999,45.560001,42.638996,4920100
2023-05-16,45.400002,45.720001,45.080002,45.090000,42.199131,6163600
2023-05-17,45.180000,45.500000,44.869999,45.340000,42.433098,6316200
2023-05-18,45.040001,45.169998,44.570000,45.070000,42.180408,6580100
2023-05-19,45.270000,45.480000,45.009998,45.299999,42.395664,6555000
2023-05-22,45.310001,45.520000,44.860001,44.930000,42.049389,6472700
2023-05-23,45.070000,45.259998,44.900002,44.930000,42.049389,6167800
2023-05-24,44.950001,45.180000,44.799999,44.950001,42.068108,5400500
2023-05-25,44.750000,44.919998,44.459999,44.669998,41.806057,6859500
2023-05-26,44.759998,44.950001,44.590000,44.610001,41.749901,5498700
2023-05-30,44.509998,44.529999,43.709999,44.320000,41.478497,9183000
2023-05-31,44.250000,44.450001,44.029999,44.419998,41.572083,11075000
2023-06-01,44.630001,44.930000,44.369999,44.580002,41.721828,8763200
2023-06-02,44.509998,45.369999,44.400002,45.330002,42.423744,7207400
2023-06-05,45.299999,45.430000,44.509998,44.639999,41.777981,6880600
2023-06-06,44.700001,44.820000,44.490002,44.660000,41.796696,7368600
2023-06-07,44.720001,45.299999,44.619999,45.099998,42.208488,8768100
2023-06-08,45.220001,45.389999,44.900002,45.360001,42.451820,5804100
2023-06-09,45.400002,45.549999,45.169998,45.220001,42.320797,6689900
2023-06-12,45.250000,45.599998,45.139999,45.529999,42.610920,6512200
2023-06-13,45.529999,45.930000,45.330002,45.759998,42.826172,9106700
2023-06-14,44.900002,44.980000,43.860001,43.950001,41.994873,11941300
2023-06-15,44.119999,44.299999,44.029999,44.150002,42.185982,8484400
2023-06-16,44.220001,44.270000,43.919998,44.070000,42.109535,13661200
2023-06-20,44.029999,44.080002,43.470001,43.470001,41.536228,8033300
2023-06-21,43.470001,44.060001,43.389999,43.950001,41.994873,6838400
2023-06-22,44.099998,44.200001,43.689999,43.759998,41.813324,5022500
2023-06-23,43.869999,44.090000,43.340000,43.419998,41.488453,8942100
