Date,Open,High,Low,Close,Adj Close,Volume
2023-03-27,1.940000,1.980000,1.915000,1.960000,1.960000,1036700
2023-03-28,1.932000,1.950000,1.860000,1.900000,1.900000,1250000
2023-03-29,1.910000,1.960000,1.890000,1.920000,1.920000,1197800
2023-03-30,1.950000,1.950000,1.885000,1.890000,1.890000,670000
2023-03-31,1.900000,1.940000,1.885000,1.940000,1.940000,1187500
2023-04-03,1.910000,1.970000,1.910000,1.950000,1.950000,1132900
2023-04-04,1.940000,1.950000,1.870000,1.890000,1.890000,1562500
2023-04-05,1.900000,1.900000,1.805000,1.830000,1.830000,1184100
2023-04-06,1.840000,1.860000,1.820000,1.850000,1.850000,846200
2023-04-10,1.830000,1.920000,1.810000,1.910000,1.910000,1255800
2023-04-11,1.880000,1.900000,1.850000,1.870000,1.870000,709200
2023-04-12,1.870000,1.890000,1.805000,1.820000,1.820000,1693200
2023-04-13,1.860000,1.920000,1.850000,1.890000,1.890000,1332200
2023-04-14,1.880000,1.910000,1.850000,1.860000,1.860000,1062700
2023-04-17,1.850000,1.970000,1.845000,1.960000,1.960000,1790500
2023-04-18,1.970000,2.060000,1.950000,2.040000,2.040000,2540400
2023-04-19,2.000000,2.028000,1.940000,1.940000,1.940000,947300
2023-04-20,1.920000,1.925000,1.820000,1.830000,1.830000,1511200
2023-04-21,1.830000,1.850000,1.800000,1.810000,1.810000,1038800
2023-04-24,1.800000,1.830000,1.770000,1.800000,1.800000,953800
2023-04-25,1.800000,1.800000,1.740000,1.760000,1.760000,972100
2023-04-26,1.750000,1.760000,1.700000,1.730000,1.730000,1014000
2023-04-27,1.830000,1.890000,1.790000,1.840000,1.840000,2363400
2023-04-28,1.840000,1.890000,1.820000,1.870000,1.870000,1073600
2023-05-01,1.860000,1.890000,1.840000,1.880000,1.880000,1081200
2023-05-02,1.880000,1.880000,1.809000,1.850000,1.850000,741800
2023-05-03,1.850000,1.910000,1.850000,1.880000,1.880000,729200
2023-05-04,1.850000,1.950000,1.820000,1.920000,1.920000,1444800
2023-05-05,1.950000,2.030000,1.950000,2.010000,2.010000,1280300
2023-05-08,2.010000,2.015000,1.960000,1.990000,1.990000,1155900
2023-05-09,1.940000,1.980000,1.850000,1.860000,1.860000,849200
2023-05-10,1.880000,1.900000,1.845000,1.880000,1.880000,709200
2023-05-11,1.860000,1.890000,1.760000,1.760000,1.760000,1142800
2023-05-12,1.760000,1.790000,1.700000,1.730000,1.730000,982400
2023-05-15,1.730000,1.770000,1.700000,1.760000,1.760000,740800
2023-05-16,1.720000,1.740000,1.680000,1.720000,1.720000,1053600
2023-05-17,1.710000,1.760000,1.665000,1.750000,1.750000,880000
2023-05-18,1.750000,1.850000,1.730000,1.820000,1.820000,2167200
2023-05-19,1.820000,1.920000,1.810000,1.910000,1.910000,1643000
2023-05-22,1.900000,2.030000,1.899000,1.980000,1.980000,1342600
2023-05-23,1.950000,1.990000,1.880000,1.890000,1.890000,941000
2023-05-24,1.890000,1.910000,1.835000,1.880000,1.880000,934200
2023-05-25,1.890000,1.890000,1.770000,1.800000,1.800000,885700
2023-05-26,1.810000,1.810000,1.760000,1.770000,1.770000,905100
2023-05-30,1.780000,1.780000,1.720000,1.750000,1.750000,1278900
2023-05-31,1.760000,1.770000,1.690000,1.750000,1.750000,1291800
2023-06-01,1.750000,1.760000,1.690000,1.740000,1.740000,858600
2023-06-02,1.780000,1.780000,1.735000,1.750000,1.750000,888300
2023-06-05,1.750000,1.750000,1.680000,1.700000,1.700000,648900
2023-06-06,1.690000,1.750000,1.660000,1.750000,1.750000,857900
2023-06-07,1.750000,1.785000,1.720000,1.740000,1.740000,806400
2023-06-08,1.740000,1.740000,1.680000,1.700000,1.700000,725500
2023-06-09,1.690000,1.700000,1.660000,1.670000,1.670000,1043600
2023-06-12,1.670000,1.760000,1.660000,1.750000,1.750000,901500
2023-06-13,1.750000,1.790000,1.730000,1.760000,1.760000,1234200
2023-06-14,1.760000,1.810000,1.722000,1.730000,1.730000,1181400
2023-06-15,1.720000,1.730000,1.690000,1.730000,1.730000,512200
2023-06-16,1.700000,1.720000,1.670000,1.710000,1.710000,713900
2023-06-20,1.700000,1.720000,1.670000,1.710000,1.710000,765000
2023-06-21,1.700000,1.850000,1.680000,1.830000,1.830000,2630500
2023-06-22,1.840000,1.905000,1.785000,1.900000,1.900000,2367800
2023-06-23,1.850000,1.879000,1.790000,1.810000,1.810000,1705500
2023-06-26,1.830000,1.885000,1.810000,1.860000,1.860000,1974700
2023-06-27,1.840000,1.890000,1.795000,1.870000,1.870000,1463500
2023-06-28,1.870000,1.890000,1.805000,1.890000,1.890000,1061000
2023-06-29,1.870000,1.940000,1.860000,1.920000,1.920000,786600
2023-06-30,1.910000,1.980000,1.890000,1.970000,1.970000,1126500
2023-07-03,1.980000,2.050000,1.970000,2.040000,2.040000,1473400
2023-07-05,2.040000,2.050000,1.930000,1.960000,1.960000,1805200
2023-07-06,1.940000,2.350000,1.860000,1.880000,1.880000,10076700
2023-07-07,1.910000,2.040000,1.860000,2.010000,2.010000,5097600
2023-07-10,2.020000,2.090000,1.965000,2.060000,2.060000,3022900
2023-07-11,2.060000,2.130000,2.020000,2.020000,2.020000,3061200
2023-07-12,2.050000,2.070000,1.990000,2.000000,2.000000,1759400
2023-07-13,2.000000,2.070000,1.980000,2.060000,2.060000,1994800
2023-07-14,2.070000,2.070000,1.910000,1.910000,1.910000,2044300
2023-07-17,1.920000,1.930000,1.850000,1.850000,1.850000,1551300
2023-07-18,1.850000,1.905000,1.840000,1.870000,1.870000,821800
2023-07-19,1.850000,1.935000,1.850000,1.920000,1.920000,1150600
2023-07-20,1.910000,1.910000,1.840000,1.870000,1.870000,888000
2023-07-21,1.860000,1.880000,1.830000,1.850000,1.850000,1035500
2023-07-24,1.830000,1.870000,1.810000,1.850000,1.850000,916600
2023-07-25,1.830000,1.831000,1.800000,1.800000,1.800000,752100
2023-07-26,1.840000,1.880000,1.800000,1.810000,1.810000,1687800
2023-07-27,1.820000,1.830000,1.770000,1.780000,1.780000,1978000
2023-07-28,1.760000,1.860000,1.760000,1.840000,1.840000,1516600
2023-07-31,1.880000,1.950000,1.860000,1.940000,1.940000,2752700
2023-08-01,1.940000,1.940000,1.860000,1.910000,1.910000,1477300
2023-08-02,1.880000,1.900000,1.830000,1.840000,1.840000,1206200
2023-08-03,1.840000,1.900000,1.810000,1.870000,1.870000,1615900
2023-08-04,1.890000,1.910000,1.850000,1.850000,1.850000,797100
2023-08-07,1.850000,1.850000,1.790000,1.830000,1.830000,998100
2023-08-08,1.760000,1.790000,1.640000,1.750000,1.750000,2736100
2023-08-09,1.750000,1.820000,1.735000,1.760000,1.760000,1133700
2023-08-10,1.770000,1.780000,1.720000,1.750000,1.750000,1232600
2023-08-11,1.720000,1.750000,1.720000,1.730000,1.730000,861200
2023-08-14,1.730000,1.740000,1.690000,1.730000,1.730000,1515700
2023-08-15,1.710000,1.730000,1.640000,1.680000,1.680000,1791300
2023-08-16,1.690000,1.810000,1.650000,1.800000,1.800000,2830800
